광역지자체명,기초지자체명,방문자수
경상북도,영양,1764171.0
경상북도,울릉,1870652.0
강원도,양구,2795127.0
전라북도,장수,2853204.0
경상남도,의령,4203911.0
강원도,화천,4253999.0
경상북도,봉화,4438327.0
전라북도,진안,4611600.0
충청남도,청양,4715839.0
전라북도,순창,4730939.0
충청남도,계룡,4926802.0
전라남도,진도,4947099.0
경상북도,청송,5057249.0
전라남도,장흥,5124636.0
강원도,태백,5203254.0
경상남도,함양,5396577.0
전라남도,곡성,5472846.0
전라남도,강진,5542342.0
전라남도,구례,5725761.0
충청북도,증평,5767944.0
충청북도,보은,5868986.0
전라남도,완도,5896563.0
경상북도,고령,6056088.0
전라남도,함평,6243939.0
충청북도,영동,6313743.0
경상북도,예천,6666231.0
강원도,철원,6732255.0
경상남도,산청,6759332.0
전라남도,고흥,6819153.0
전라남도,보성,6871796.0
강원도,영월,6951583.0
경상북도,군위,6981537.0
전라남도,신안,7038337.0
경상북도,의성,7049277.0
경상남도,합천,7054999.0
경상남도,거창,7118444.0
경상북도,성주,7185821.0
전라남도,영광,7262814.0
전라북도,무주,7635044.0
경상남도,하동,7703933.0
경상북도,울진,7767591.0
전라북도,임실,7782831.0
충청북도,단양,8203780.0
강원도,정선,8483085.0
경상북도,영주,8552342.0
전라남도,해남,8622541.0
경상남도,남해,8781108.0
경기도,연천,8872790.0
강원도,인제,9053411.0
경상남도,고성,9229048.0
경기도,동두천,9276125.0
경상남도,창녕,9417915.0
전라북도,남원,9732149.0
충청남도,서천,9836243.0
전라남도,장성,9974345.0
전라북도,부안,9982654.0
전라북도,고창,9998247.0
경상북도,영덕,10027628.0
충청북도,괴산,10054227.0
경상북도,청도,10106260.0
충청남도,금산,10115957.0
전라남도,영암,10234886.0
충청북도,옥천,10278465.0
경상북도,문경,10370776.0
경상남도,함안,10589154.0
충청남도,부여,10827657.0
전라북도,정읍,11161641.0
강원도,동해,11429747.0
강원도,삼척,11513911.0
전라북도,김제,11753949.0
충청남도,홍성,11978251.0
경상북도,영천,11997761.0
전라남도,화순,12242241.0
경상북도,김천,12275042.0
경상북도,상주,12384817.0
충청북도,진천,12740018.0
강원도,횡성,12779216.0
강원도,고성,12945363.0
전라남도,광양,13418964.0
충청북도,제천,14290557.0
전라남도,무안,14460745.0
충청남도,예산,14583036.0
경상남도,밀양,14926832.0
전라남도,담양,15260971.0
경상남도,사천,15627129.0
충청남도,논산,15808314.0
경상남도,통영,16155179.0
전라남도,나주,16323401.0
강원도,양양,16550403.0
강원도,평창,16946284.0
강원도,홍천,17225922.0
경상북도,안동,17323901.0
충청북도,음성,17564282.0
충청남도,보령,18116396.0
충청남도,태안,18118864.0
충청남도,서산,18216050.0
경상북도,칠곡,19202297.0
경기도,과천,19396039.0
전라북도,완주,19966366.0
경상남도,진주,21845275.0
전라북도,익산,22198979.0
충청남도,당진,22243653.0
경상남도,거제,23136878.0
충청북도,충주,23333531.0
강원도,속초,24015231.0
전라북도,군산,24137542.0
전라남도,순천,24578209.0
경상북도,구미,24627709.0
전라남도,목포,24679904.0
경기도,군포,24812098.0
경기도,성남시 중원구,25670041.0
경기도,여주,25848995.0
충청남도,공주,26151244.0
전라남도,여수,26883491.0
경기도,오산,27243120.0
경기도,안산시 상록구,27534345.0
경기도,의왕,28316192.0
경기도,안양시 만안구,28435793.0
경상북도,포항시 남구,28884507.0
경기도,가평,28946521.0
경상북도,포항시 북구,29618594.0
경상북도,경산,29821729.0
경기도,포천,29937112.0
세종특별자치시,세종,29983077.0
강원도,원주,30555505.0
강원도,춘천,31038429.0
경기도,양주,32110243.0
경상남도,양산,32476762.0
경기도,양평,33025982.0
충청남도,아산,33527170.0
경기도,수원시 장안구,34234034.0
경기도,용인시 수지구,34418881.0
강원도,강릉,35021412.0
전라북도,전주시 덕진구,35074595.0
충청남도,천안시 서북구,36052959.0
경기도,안성,36761267.0
전라북도,전주시 완산구,37634246.0
경기도,광명,38060526.0
경기도,성남시 수정구,38152331.0
경기도,안양시 동안구,38780303.0
경기도,이천,39766584.0
경기도,의정부,40670086.0
경기도,수원시 권선구,41062224.0
경상남도,김해,41561137.0
충청남도,천안시 동남구,41785412.0
경기도,고양시 일산서구,41824672.0
경상북도,경주,43603875.0
경기도,구리,44887395.0
경기도,평택,45581709.0
경기도,광주,47029151.0
경기도,용인시 처인구,47229253.0
경기도,안산시 단원구,49305191.0
제주특별자치도,서귀포시,49639515.0
경기도,김포,50917581.0
경기도,시흥,52248427.0
경기도,수원시 영통구,53281634.0
경기도,파주,53737790.0
경기도,하남,56136427.0
경기도,용인시 기흥구,56654214.0
경기도,수원시 팔달구,59345844.0
경기도,고양시 일산동구,60371860.0
경기도,고양시 덕양구,63069235.0
제주특별자치도,제주시,64835316.0
경기도,부천,68217602.0
경기도,남양주,71290013.0
경기도,성남시 분당구,83246584.0
경기도,화성,95923557.0
제주도,제주,100000000.0
충청북도,청주,117706342.0
충청북도,천안,117706342.0
경상남도,창원,127233308.0
울산광역시,울산,133648830.0
광주광역시,광주,189546732.0
대전광역시,대전,201504165.0
대구광역시,대구,328196268.0
경기도,성남,328196268.0
경기도,용인,328196268.0
경기도,고양,328196268.0
경기도,수원,328196268.0
경기도,안산,328196268.0
경기도,안양,328196268.0
경상북도,전주,328196268.0
충청북도,천안,328196268.0
경기도,포항,328196268.0
인천광역시,인천,338150758.0
인천광역시,제주,338150758.0
부산광역시,부산,533946687.0
서울특별시,서울,1000000000.0